epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6671,2.07054,2.99797,2.18328,0,0,0,0,4.19023,68.219,6.02182,0.000413165,0.000413165,0.000413165
2,150.086,2.18533,2.77603,2.21637,0.27337,0.20699,0.09833,0.02557,2.56975,10.9203,3.14636,0.000818096,0.000818096,0.000818096
3,214.612,2.11641,2.65357,2.14485,0.12166,0.22334,0.03068,0.0124,2.25632,inf,2.65075,0.00121124,0.00121124,0.00121124
4,279.454,2.07809,2.6023,2.10513,0.21546,0.44644,0.22549,0.07728,2.1611,4.63229,2.4495,0.00119696,0.00119696,0.00119696
5,347.408,2.00917,2.41174,2.06702,0.51177,0.33632,0.31266,0.10999,2.08225,3.10376,2.34584,0.00117929,0.00117929,0.00117929
6,413.449,2.01335,2.41075,2.06285,0.39184,0.47579,0.41046,0.15651,2.08745,2.37892,2.39191,0.00116161,0.00116161,0.00116161
7,478.184,1.96426,2.27634,2.01349,0.37395,0.56649,0.40517,0.16262,2.0529,2.3645,2.3608,0.00114393,0.00114393,0.00114393
8,544.558,1.90509,2.16088,1.98283,0.49948,0.48574,0.45134,0.18695,2.03513,2.00237,2.27591,0.00112625,0.00112625,0.00112625
9,609.109,1.87631,2.08443,1.9466,0.48851,0.5928,0.54008,0.23485,1.96354,1.89963,2.20309,0.00110857,0.00110857,0.00110857
10,674.695,1.90805,2.0798,1.97704,0.49745,0.61317,0.56266,0.23658,1.9361,1.7795,2.18525,0.00109089,0.00109089,0.00109089
11,742.432,1.85016,2.01555,1.93537,0.65598,0.48499,0.51456,0.21519,2.00214,3.1594,2.26824,0.00107321,0.00107321,0.00107321
12,806.416,1.85991,2.00382,1.9297,0.59712,0.6094,0.62327,0.26579,1.96951,1.73911,2.16832,0.00105554,0.00105554,0.00105554
13,871.912,1.78389,1.91875,1.87968,0.55423,0.67131,0.66945,0.28725,1.87964,1.59958,2.13726,0.00103786,0.00103786,0.00103786
14,937.637,1.82767,1.90241,1.91223,0.59404,0.66408,0.69429,0.32441,1.87677,1.61891,2.13619,0.00102018,0.00102018,0.00102018
